MovieName	Genres	Director	Actors	Tagline	Summary	BoxOfficeBudget	BoxOfficeGross
The Shawshank Redemption	Crime|Drama	Frank Darabont	Tim Robbins,	Fear can hold you prisoner. Hope can set you free.	Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.	 $25,000,000 (estimated)	 $28,341,469 (USA)
The Godfather	Crime|Drama	Francis Ford Coppola	Marlon Brando,	The Godfather is now a movie. See more »	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.	 $6,000,000 (estimated)	 $134,821,952 (USA)(2 May 1997)
The Godfather: Part II	Crime|Drama	Francis Ford Coppola	Al Pacino,	NA	The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba.	 $13,000,000 (estimated)	 $57,300,000 (USA)
The Dark Knight	Action|Crime|Drama	Christopher Nolan	Christian Bale,	The night is darkest before the dawn. See more »	When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.	 $185,000,000 (estimated)	 $533,316,061 (USA)(27 February 2009)
12 Angry Men	Crime|Drama	Sidney Lumet	Henry Fonda,	...it explodes like twelve sticks of dynamite! See more »	A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.	 $350,000 (estimated)	NA
Schindler's List	Biography|Drama|History	Steven Spielberg	Liam Neeson,	Whoever saves one life, saves the world entire. See more »	In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.	 $22,000,000 (estimated)	 $96,067,179 (USA)
Pulp Fiction	Crime|Drama	Quentin Tarantino	John Travolta,	Just because you are a character doesn't mean you have character. See more »	The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.	 $8,000,000 (estimated)	 $107,930,000 (USA)
The Lord of the Rings: The Return of the King	Adventure|Drama|Fantasy	Peter Jackson	Elijah Wood,	The eye of the enemy is moving. See more »	Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.	 $94,000,000 (estimated)	 $377,019,252 (USA)(28 May 2004)
Il buono, il brutto, il cattivo	Western	Sergio Leone	Clint Eastwood,	For Three Men The Civil War Wasn't Hell. It Was Practice! See more »	A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.	 $1,200,000 (estimated)	 $6,100,000 (USA)
Fight Club	Drama	David Fincher	Brad Pitt,	How much can you know about yourself if you've never been in a fight? See more »	An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more.	 $63,000,000 (estimated)	 $37,023,395 (USA)(25 February 2000)
The Lord of the Rings: The Fellowship of the Ring	Adventure|Drama|Fantasy	Peter Jackson	Elijah Wood,	One ring to rule them all, One ring to find them, One ring to bring them all and in the darkness bind them See more »	A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.	 $93,000,000 (estimated)	 $313,837,577 (USA)(5 December 2003)
Star Wars: Episode V - The Empire Strikes Back	Action|Adventure|Fantasy	Irvin Kershner	Mark Hamill,	The Adventure Continues... See more »	After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke.	 $18,000,000 (estimated)	 $290,158,751 (USA)(9 May 1997)
Forrest Gump	Comedy|Drama	Robert Zemeckis	Tom Hanks,	The world will never be the same once you've seen it through the eyes of Forrest Gump. See more »	Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.	 $55,000,000 (estimated)	 $329,691,196 (USA)
Inception	Action|Adventure|Sci-Fi	Christopher Nolan	Leonardo DiCaprio,	Your mind is the scene of the crime See more »	A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.	 $160,000,000 (estimated)	 $292,568,851 (USA)(31 December 2010)
The Lord of the Rings: The Two Towers	Adventure|Drama|Fantasy	Peter Jackson	Elijah Wood,	The Battle for Middle-earth Begins! See more »	While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.	 $94,000,000 (estimated)	 $340,478,898 (USA)(12 December 2003)
One Flew Over the Cuckoo's Nest	Drama	Milos Forman	Jack Nicholson,	If he's crazy, what does that make you?	A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.	 $4,400,000 (estimated)	 $112,000,000 (USA)
Goodfellas	Biography|Crime|Drama	Martin Scorsese	Robert De Niro,	Shooting people was 'No big deal'. See more »	Henry Hill and his friends work their way up through the mob hierarchy.	 $25,000,000 (estimated)	 $46,836,394 (USA)
The Matrix	Action|Sci-Fi	Lana Wachowski (as The Wachowski Brothers),	Keanu Reeves,	Be Afraid Of The Future See more »	A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.	 $63,000,000 (estimated)	 $171,383,253 (USA)(17 September 1999)
Shichinin no samurai	Action|Adventure|Drama	Akira Kurosawa	Toshirô Mifune,	The Mighty Warriors Who Became the Seven National Heroes of a Small Town See more »	A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.	 $2,000,000 (estimated)	 $269,061 (USA)(29 August 2003)
Star Wars	Action|Adventure|Fantasy	George Lucas	Mark Hamill,	Somewhere, in space, this could all be happening right now. See more »	Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.	 $11,000,000 (estimated)	 $460,935,665 (USA)(2 May 1997)
Cidade de Deus	Crime|Drama	Fernando Meirelles,	Alexandre Rodrigues,	If you run, the beast will get you. If you stay, the beast will eat you See more »	Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.	 $3,300,000 (estimated)	 $7,563,397 (USA)(18 June 2004)
Se7en	Crime|Drama|Mystery	David Fincher	Morgan Freeman,	Seven deadly sins. Seven ways to die. See more »	Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.	 $33,000,000 (estimated)	 $100,125,340 (USA)
The Silence of the Lambs	Crime|Drama|Thriller	Jonathan Demme	Jodie Foster,	Dr. Hannibal Lecter. Brilliant. Cunning. Psychotic. In his mind lies the clue to a ruthless killer. - Clarice Starling, FBI. Brilliant. Vulnerable. Alone. She must trust him to stop the killer. See more »	A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.	 $19,000,000 (estimated)	 $130,727,000 (USA)
